10.253.214.9 2026-09-11 23:11:39.017 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1167 after 1.399 ms
10.253.214.9 2026-09-11 23:11:39.048 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.965 ms
10.253.214.9 2026-09-11 23:11:39.049 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.074 ms
10.253.214.9 2026-09-11 23:11:39.049 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.618 ms
10.253.214.9 2026-09-11 23:11:39.050 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.390 ms
10.253.214.9 2026-09-11 23:11:39.050 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.310 ms
10.253.214.9 2026-09-11 23:11:39.051 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.115 ms
10.253.214.9 2026-09-11 23:11:39.052 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1181 after 1.993 ms
10.253.214.9 2026-09-11 23:11:39.053 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1181 after 3.257 ms
10.253.214.9 2026-09-11 23:11:39.053 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.170 ms
10.253.214.9 2026-09-11 23:11:39.054 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1182 after 1.166 ms
10.253.214.9 2026-09-11 23:11:39.054 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.181 ms
10.253.214.9 2026-09-11 23:11:39.057 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1182 after 4.030 ms
10.253.214.9 2026-09-11 23:11:39.057 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.162 ms
10.253.214.9 2026-09-11 23:11:39.058 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.119 ms
10.253.214.9 2026-09-11 23:11:39.058 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.059 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.045 ms
10.253.214.9 2026-09-11 23:11:39.059 UTC [254] authenticator@postgres LOG:  process 254 still waiting for ShareLock on transaction 1184 after 1.050 ms
10.253.214.9 2026-09-11 23:11:39.061 UTC [254] authenticator@postgres LOG:  process 254 acquired ShareLock on transaction 1184 after 3.237 ms
10.253.214.9 2026-09-11 23:11:39.061 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.770 ms
10.253.214.9 2026-09-11 23:11:39.062 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.062 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1185 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.062 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1185 after 1.242 ms
10.253.214.9 2026-09-11 23:11:39.062 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.919 ms
10.253.214.9 2026-09-11 23:11:39.063 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1186 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.064 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.344 ms
10.253.214.9 2026-09-11 23:11:39.066 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1186 after 3.595 ms
10.253.214.9 2026-09-11 23:11:39.066 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 17.197 ms
10.253.214.9 2026-09-11 23:11:39.067 UTC [255] authenticator@postgres LOG:  process 255 still waiting for ShareLock on transaction 1187 after 1.045 ms
10.253.214.9 2026-09-11 23:11:39.067 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.067 UTC [255] authenticator@postgres LOG:  process 255 acquired ShareLock on transaction 1187 after 1.211 ms
10.253.214.9 2026-09-11 23:11:39.068 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 17.894 ms
10.253.214.9 2026-09-11 23:11:39.068 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.737 ms
10.253.214.9 2026-09-11 23:11:39.068 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.069 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.064 ms
10.253.214.9 2026-09-11 23:11:39.069 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1189 after 1.046 ms
10.253.214.9 2026-09-11 23:11:39.072 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1189 after 4.077 ms
10.253.214.9 2026-09-11 23:11:39.072 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.167 ms
10.253.214.9 2026-09-11 23:11:39.073 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.114 ms
10.253.214.9 2026-09-11 23:11:39.073 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1190 after 1.038 ms
10.253.214.9 2026-09-11 23:11:39.076 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1190 after 3.951 ms
10.253.214.9 2026-09-11 23:11:39.076 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.732 ms
10.253.214.9 2026-09-11 23:11:39.077 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.077 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1191 after 1.081 ms
10.253.214.9 2026-09-11 23:11:39.080 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1191 after 3.735 ms
10.253.214.9 2026-09-11 23:11:39.080 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 19.061 ms
10.253.214.9 2026-09-11 23:11:39.081 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.388 ms
10.253.214.9 2026-09-11 23:11:39.081 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.068 ms
10.253.214.9 2026-09-11 23:11:39.081 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.146 ms
10.253.214.9 2026-09-11 23:11:39.082 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.076 ms
10.253.214.9 2026-09-11 23:11:39.082 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.622 ms
10.253.214.9 2026-09-11 23:11:39.082 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.069 ms
10.253.214.9 2026-09-11 23:11:39.083 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.715 ms
10.253.214.9 2026-09-11 23:11:39.083 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.049 ms
10.253.214.9 2026-09-11 23:11:39.084 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1196 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.084 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.983 ms
10.253.214.9 2026-09-11 23:11:39.084 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1196 after 1.492 ms
10.253.214.9 2026-09-11 23:11:39.085 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1197 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.087 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1197 after 2.887 ms
10.253.214.9 2026-09-11 23:11:39.088 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.024 ms
10.253.214.9 2026-09-11 23:11:39.088 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1198 after 1.227 ms
10.253.214.9 2026-09-11 23:11:39.088 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1198 after 1.360 ms
10.253.214.9 2026-09-11 23:11:39.089 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 16.449 ms
10.253.214.9 2026-09-11 23:11:39.089 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.031 ms
10.253.214.9 2026-09-11 23:11:39.090 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.569 ms
10.253.214.9 2026-09-11 23:11:39.090 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.055 ms
10.253.214.9 2026-09-11 23:11:39.090 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.091 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1201 after 1.024 ms
10.253.214.9 2026-09-11 23:11:39.092 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1201 after 2.808 ms
10.253.214.9 2026-09-11 23:11:39.094 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1202 after 1.305 ms
10.253.214.9 2026-09-11 23:11:39.095 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1202 after 2.474 ms
10.253.214.9 2026-09-11 23:11:39.095 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.529 ms
10.253.214.9 2026-09-11 23:11:39.096 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1203 after 1.029 ms
10.253.214.9 2026-09-11 23:11:39.096 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1203 after 1.038 ms
10.253.214.9 2026-09-11 23:11:39.096 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.037 ms
10.253.214.9 2026-09-11 23:11:39.097 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.882 ms
10.253.214.9 2026-09-11 23:11:39.097 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.028 ms
10.253.214.9 2026-09-11 23:11:39.097 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.075 ms
10.253.214.9 2026-09-11 23:11:39.098 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.139 ms
10.253.214.9 2026-09-11 23:11:39.098 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1205 after 1.072 ms
10.253.214.9 2026-09-11 23:11:39.098 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1205 after 1.256 ms
10.253.214.9 2026-09-11 23:11:39.098 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.654 ms
10.253.214.9 2026-09-11 23:11:39.098 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.076 ms
10.253.214.9 2026-09-11 23:11:39.099 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.338 ms
10.253.214.9 2026-09-11 23:11:39.099 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.314 ms
10.253.214.9 2026-09-11 23:11:39.099 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.100 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.358 ms
10.253.214.9 2026-09-11 23:11:39.100 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1208 after 1.240 ms
10.253.214.9 2026-09-11 23:11:39.100 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1208 after 1.303 ms
10.253.214.9 2026-09-11 23:11:39.101 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.163 ms
10.253.214.9 2026-09-11 23:11:39.101 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.082 ms
10.253.214.9 2026-09-11 23:11:39.101 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 5.082 ms
10.253.214.9 2026-09-11 23:11:39.102 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.024 ms
10.253.214.9 2026-09-11 23:11:39.102 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.062 ms
10.253.214.9 2026-09-11 23:11:39.103 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.103 UTC [255] authenticator@postgres LOG:  process 255 still waiting for ShareLock on transaction 1211 after 1.029 ms
10.253.214.9 2026-09-11 23:11:39.106 UTC [255] authenticator@postgres LOG:  process 255 acquired ShareLock on transaction 1211 after 3.927 ms
10.253.214.9 2026-09-11 23:11:39.106 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.667 ms
10.253.214.9 2026-09-11 23:11:39.107 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.813 ms
10.253.214.9 2026-09-11 23:11:39.107 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.019 ms
10.253.214.9 2026-09-11 23:11:39.107 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.036 ms
10.253.214.9 2026-09-11 23:11:39.108 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1213 after 1.045 ms
10.253.214.9 2026-09-11 23:11:39.110 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1213 after 3.396 ms
10.253.214.9 2026-09-11 23:11:39.110 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.058 ms
10.253.214.9 2026-09-11 23:11:39.111 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.306 ms
10.253.214.9 2026-09-11 23:11:39.112 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.507 ms
10.253.214.9 2026-09-11 23:11:39.112 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.125 ms
10.253.214.9 2026-09-11 23:11:39.112 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.904 ms
10.253.214.9 2026-09-11 23:11:39.113 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.044 ms
10.253.214.9 2026-09-11 23:11:39.114 UTC [251] authenticator@postgres LOG:  process 251 still waiting for ShareLock on transaction 1216 after 1.167 ms
10.253.214.9 2026-09-11 23:11:39.114 UTC [251] authenticator@postgres LOG:  process 251 acquired ShareLock on transaction 1216 after 1.353 ms
10.253.214.9 2026-09-11 23:11:39.114 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.050 ms
10.253.214.9 2026-09-11 23:11:39.114 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.030 ms
10.253.214.9 2026-09-11 23:11:39.114 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.509 ms
10.253.214.9 2026-09-11 23:11:39.115 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 8.795 ms
10.253.214.9 2026-09-11 23:11:39.115 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.070 ms
10.253.214.9 2026-09-11 23:11:39.116 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.028 ms
10.253.214.9 2026-09-11 23:11:39.116 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1219 after 1.019 ms
10.253.214.9 2026-09-11 23:11:39.117 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1219 after 2.099 ms
